chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
QQQ,2024-03-01,443.0000,put,buy,2024-03-01T17:21:17.151195Z,debit,2.00000,limit,long_put,,0.46000000,2.00000
QQQ,2024-03-01,443.0000,put,buy,2024-03-01T17:15:32.033404Z,debit,2.00000,limit,long_put,,0.54000000,2.00000
QQQ,2024-03-01,443.0000,put,sell,2024-03-01T17:10:47.741428Z,credit,1.00000,limit,,long_put,0.68000000,1.00000
QQQ,2024-03-01,443.0000,put,sell,2024-03-01T17:05:46.396841Z,credit,1.00000,limit,,long_put,0.79000000,1.00000
QQQ,2024-03-01,443.0000,put,buy,2024-03-01T16:48:51.206419Z,debit,2.00000,limit,long_put,,0.67000000,2.00000
QQQ,2024-03-01,443.0000,put,buy,2024-03-01T16:47:44.599322Z,debit,1.00000,limit,long_put,,0.75000000,1.00000
QQQ,2024-03-01,443.0000,put,buy,2024-03-01T16:42:14.682196Z,debit,2.00000,limit,long_put,,0.79000000,2.00000
META,2024-03-01,500.0000,call,sell,2024-03-01T16:17:40.625623Z,credit,1.00000,limit,,long_call,1.40000000,1.00000
META,2024-03-01,500.0000,call,buy,2024-03-01T16:09:38.136800Z,debit,1.00000,limit,long_call,,1.50000000,1.00000
QQQ,2024-03-01,443.0000,call,sell,2024-03-01T15:45:50.013480Z,credit,1.00000,limit,,long_call,0.53000000,1.00000
QQQ,2024-03-01,443.0000,call,buy,2024-03-01T15:41:06.115032Z,debit,1.00000,limit,long_call,,0.43000000,1.00000
AMD,2024-03-01,205.0000,call,sell,2024-03-01T15:30:56.170791Z,credit,1.00000,limit,,long_call,0.42000000,1.00000
AMD,2024-03-01,205.0000,call,sell,2024-03-01T15:27:09.637343Z,credit,1.00000,limit,,long_call,0.61000000,1.00000
AMD,2024-03-01,205.0000,call,buy,2024-03-01T15:23:16.705032Z,debit,2.00000,limit,long_call,,0.68000000,2.00000
NVDA,2024-03-01,815.0000,call,sell,2024-03-01T15:06:33.336149Z,credit,1.00000,limit,,long_call,1.16000000,1.00000
NVDA,2024-03-01,815.0000,call,buy,2024-03-01T15:04:41.773455Z,debit,1.00000,limit,long_call,,0.88000000,1.00000
NVDA,2024-03-01,815.0000,call,sell,2024-03-01T15:03:56.915413Z,credit,1.00000,limit,,long_call,1.05000000,1.00000
NVDA,2024-03-01,815.0000,call,sell,2024-03-01T15:03:16.381996Z,credit,1.00000,limit,,long_call,1.06000000,1.00000
NVDA,2024-03-01,815.0000,call,buy,2024-03-01T15:00:30.357511Z,debit,2.00000,limit,long_call,,0.91000000,2.00000
NVDA,2024-03-01,815.0000,call,sell,2024-03-01T14:58:48.592286Z,credit,1.00000,limit,,long_call,1.18000000,1.00000
NVDA,2024-03-01,815.0000,call,sell,2024-03-01T14:54:48.690343Z,credit,1.00000,limit,,long_call,1.20000000,1.00000
NVDA,2024-03-01,815.0000,call,buy,2024-03-01T14:53:11.068729Z,debit,2.00000,limit,long_call,,1.08000000,2.00000
QQQ,2024-02-29,437.0000,put,sell,2024-02-29T18:03:01.899454Z,credit,3.00000,limit,,long_put,0.32000000,3.00000
QQQ,2024-02-29,437.0000,put,buy,2024-02-29T17:42:43.896335Z,debit,2.00000,limit,long_put,,0.70000000,2.00000
QQQ,2024-02-29,437.0000,put,sell,2024-02-29T17:36:59.796066Z,credit,2.00000,limit,,long_put,0.75000000,2.00000
QQQ,2024-02-29,437.0000,put,sell,2024-02-29T17:36:28.692614Z,credit,1.00000,limit,,long_put,0.80000000,1.00000
QQQ,2024-02-29,437.0000,put,sell,2024-02-29T17:35:32.336521Z,credit,1.00000,limit,,long_put,0.82000000,1.00000
QQQ,2024-02-29,437.0000,put,buy,2024-02-29T17:32:18.290070Z,debit,2.00000,limit,long_put,,0.79000000,2.00000
QQQ,2024-02-29,437.0000,put,buy,2024-02-29T17:31:31.855665Z,debit,2.00000,limit,long_put,,0.83000000,2.00000
QQQ,2024-02-29,437.0000,put,sell,2024-02-29T17:29:50.829458Z,credit,1.00000,limit,,long_put,0.77000000,1.00000
QQQ,2024-02-29,437.0000,put,sell,2024-02-29T17:29:30.386109Z,credit,1.00000,limit,,long_put,0.95000000,1.00000
QQQ,2024-02-29,437.0000,put,buy,2024-02-29T17:27:10.110194Z,debit,2.00000,limit,long_put,,0.78000000,2.00000
QQQ,2024-02-29,436.0000,put,sell,2024-02-29T17:20:39.025795Z,credit,1.00000,limit,,long_put,0.30000000,1.00000
QQQ,2024-02-29,437.0000,put,sell,2024-02-29T17:19:29.513903Z,credit,2.00000,limit,,long_put,0.65000000,2.00000
QQQ,2024-02-29,437.0000,put,buy,2024-02-29T17:11:06.265131Z,debit,1.00000,limit,long_put,,0.77000000,1.00000
QQQ,2024-02-29,437.0000,put,sell,2024-02-29T17:08:23.040534Z,credit,1.00000,limit,,long_put,0.88000000,1.00000
QQQ,2024-02-29,437.0000,put,sell,2024-02-29T17:07:33.313360Z,credit,1.00000,limit,,long_put,0.81000000,1.00000
QQQ,2024-02-29,437.0000,put,buy,2024-02-29T17:05:03.634451Z,debit,2.00000,limit,long_put,,0.70000000,2.00000
QQQ,2024-02-29,437.0000,put,buy,2024-02-29T17:02:31.044025Z,debit,2.00000,limit,long_put,,0.68000000,2.00000
QQQ,2024-02-29,436.0000,put,sell,2024-02-29T17:00:57.031785Z,credit,3.00000,limit,,long_put,0.40000000,3.00000
QQQ,2024-02-29,436.0000,put,buy,2024-02-29T17:00:20.103022Z,debit,2.00000,limit,long_put,,0.50000000,2.00000
QQQ,2024-02-29,436.0000,put,sell,2024-02-29T16:59:13.609126Z,credit,2.00000,limit,,long_put,0.44000000,2.00000
QQQ,2024-02-29,436.0000,put,buy,2024-02-29T16:58:41.998730Z,debit,2.00000,limit,long_put,,0.50000000,2.00000
QQQ,2024-02-29,436.0000,put,buy,2024-02-29T16:55:59.898636Z,debit,2.00000,limit,long_put,,0.55000000,2.00000
QQQ,2024-03-01,436.0000,put,sell,2024-02-29T16:53:24.615280Z,credit,1.00000,limit,,long_put,1.34000000,1.00000
QQQ,2024-03-01,436.0000,put,buy,2024-02-29T16:53:04.831565Z,debit,1.00000,limit,long_put,,1.53000000,1.00000
TSLA,2024-03-01,200.0000,put,sell,2024-02-29T15:37:35.575030Z,credit,1.00000,limit,,long_put,1.50000000,1.00000
TSLA,2024-03-01,200.0000,put,sell,2024-02-29T15:34:24.485427Z,credit,1.00000,limit,,long_put,1.67000000,1.00000
TSLA,2024-03-01,200.0000,put,sell,2024-02-29T15:34:00.816686Z,credit,1.00000,limit,,long_put,1.70000000,1.00000
TSLA,2024-03-01,200.0000,put,buy,2024-02-29T15:31:32.224618Z,debit,1.00000,limit,long_put,,1.58000000,1.00000
TSLA,2024-03-01,200.0000,put,buy,2024-02-29T15:27:09.124382Z,debit,1.00000,limit,long_put,,1.57000000,1.00000
TSLA,2024-03-01,200.0000,put,buy,2024-02-29T15:26:34.158569Z,debit,1.00000,limit,long_put,,1.55000000,1.00000
SPY,2024-02-29,508.0000,call,sell,2024-02-29T15:16:02.986461Z,credit,1.00000,limit,,long_call,0.69000000,1.00000
SPY,2024-02-29,508.0000,call,buy,2024-02-29T15:14:03.348307Z,debit,1.00000,limit,long_call,,0.65000000,1.00000
TSLA,2024-03-01,207.5000,call,sell,2024-02-29T14:56:30.913165Z,credit,1.00000,limit,,long_call,1.04000000,1.00000
TSLA,2024-03-01,207.5000,call,buy,2024-02-29T14:52:47.799374Z,debit,1.00000,limit,long_call,,1.10000000,1.00000
PLTR,2024-03-22,25.0000,call,sell,2024-02-29T14:35:56.599742Z,credit,1.00000,limit,,long_call,1.50000000,1.00000
TSLA,2024-03-01,197.5000,put,sell,2024-02-28T20:09:47.088636Z,credit,1.00000,limit,,long_put,1.10000000,1.00000
SPY,2024-02-28,506.0000,put,sell,2024-02-28T20:08:50.430017Z,credit,1.00000,limit,,long_put,0.61000000,1.00000
SPY,2024-02-28,506.0000,put,sell,2024-02-28T20:08:10.945496Z,credit,1.00000,limit,,long_put,0.55000000,1.00000
XOM,2024-03-15,107.0000,call,sell,2024-02-28T20:00:45.155980Z,credit,1.00000,limit,,long_call,0.95000000,1.00000
SPY,2024-02-28,506.0000,put,buy,2024-02-28T19:58:01.271989Z,debit,2.00000,limit,long_put,,0.49000000,2.00000
TSLA,2024-03-01,197.5000,put,buy,2024-02-28T19:54:34.793175Z,debit,1.00000,limit,long_put,,1.15000000,1.00000
TSLA,2024-03-01,197.5000,put,sell,2024-02-28T19:52:36.606992Z,credit,1.00000,limit,,long_put,1.08000000,1.00000
TSLA,2024-03-01,197.5000,put,buy,2024-02-28T19:52:05.029239Z,debit,1.00000,limit,long_put,,1.23000000,1.00000
XOM,2024-03-15,107.0000,call,sell,2024-02-28T19:50:19.516195Z,credit,1.00000,limit,,long_call,0.96000000,1.00000
SPY,2024-02-28,506.0000,call,sell,2024-02-28T19:18:39.745830Z,credit,1.00000,limit,,long_call,0.41000000,1.00000
SPY,2024-02-28,506.0000,call,sell,2024-02-28T19:18:24.692217Z,credit,1.00000,limit,,long_call,0.51000000,1.00000
SPY,2024-02-28,506.0000,call,sell,2024-02-28T19:17:53.140595Z,credit,1.00000,limit,,long_call,0.41000000,1.00000
SPY,2024-02-28,506.0000,call,buy,2024-02-28T19:13:20.152510Z,debit,1.00000,limit,long_call,,0.38000000,1.00000
SPY,2024-02-28,506.0000,call,buy,2024-02-28T19:12:26.192587Z,debit,2.00000,limit,long_call,,0.45000000,2.00000
QQQ,2024-02-28,436.0000,call,sell,2024-02-28T18:39:17.942663Z,credit,1.00000,limit,,long_call,0.58000000,1.00000
QQQ,2024-02-28,436.0000,call,sell,2024-02-28T18:27:00.599354Z,credit,1.00000,limit,,long_call,0.48000000,1.00000
QQQ,2024-02-28,436.0000,call,buy,2024-02-28T18:20:29.808811Z,debit,2.00000,limit,long_call,,0.39000000,2.00000
QQQ,2024-02-28,435.0000,put,sell,2024-02-28T18:05:45.272798Z,credit,1.00000,limit,,long_put,0.66000000,1.00000
QQQ,2024-02-28,435.0000,put,sell,2024-02-28T18:01:13.115561Z,credit,1.00000,limit,,long_put,0.50000000,1.00000
QQQ,2024-02-28,435.0000,put,sell,2024-02-28T18:00:46.758468Z,credit,1.00000,limit,,long_put,0.62000000,1.00000
QQQ,2024-02-28,435.0000,put,buy,2024-02-28T17:52:59.794083Z,debit,3.00000,limit,long_put,,0.50000000,3.00000
PLTR,2024-03-22,25.0000,call,buy,2024-02-28T17:29:15.970049Z,debit,1.00000,limit,long_call,,1.21000000,1.00000
QQQ,2024-02-28,437.0000,put,sell,2024-02-28T16:49:41.967773Z,credit,1.00000,limit,,long_put,1.06000000,1.00000
QQQ,2024-02-28,437.0000,put,buy,2024-02-28T16:48:13.474257Z,debit,1.00000,limit,long_put,,0.99000000,1.00000
XOM,2024-03-15,107.0000,call,buy,2024-02-28T16:47:37.441587Z,debit,1.00000,limit,long_call,,0.90000000,1.00000
XOM,2024-03-15,107.0000,call,buy,2024-02-28T16:46:39.128851Z,debit,1.00000,limit,long_call,,0.90000000,1.00000
SPY,2024-02-28,508.0000,call,sell,2024-02-28T16:26:57.685483Z,credit,1.00000,limit,,long_call,0.14000000,1.00000
SPY,2024-02-28,507.0000,call,sell,2024-02-28T16:26:29.872737Z,credit,2.00000,limit,,long_call,0.45000000,2.00000
SPY,2024-02-28,507.0000,call,buy,2024-02-28T16:20:28.344398Z,debit,2.00000,limit,long_call,,0.53000000,2.00000
SPY,2024-02-28,508.0000,call,buy,2024-02-28T16:10:10.124844Z,debit,1.00000,limit,long_call,,0.22000000,1.00000
QQQ,2024-02-28,436.0000,call,sell,2024-02-28T16:01:33.551322Z,credit,1.00000,limit,,long_call,0.89000000,1.00000
QQQ,2024-02-28,436.0000,call,sell,2024-02-28T16:00:21.693111Z,credit,1.00000,limit,,long_call,0.73000000,1.00000
QQQ,2024-02-28,436.0000,call,sell,2024-02-28T15:59:25.087473Z,credit,1.00000,limit,,long_call,0.64000000,1.00000
QQQ,2024-02-28,436.0000,call,buy,2024-02-28T15:41:50.683233Z,debit,1.00000,limit,long_call,,0.57000000,1.00000
QQQ,2024-02-28,436.0000,call,buy,2024-02-28T15:40:34.862958Z,debit,1.00000,limit,long_call,,0.60000000,1.00000
QQQ,2024-02-28,436.0000,call,buy,2024-02-28T15:35:55.676341Z,debit,1.00000,limit,long_call,,0.60000000,1.00000
QQQ,2024-02-28,435.0000,put,sell,2024-02-28T15:34:39.813853Z,credit,1.00000,limit,,long_put,0.77000000,1.00000
QQQ,2024-02-28,435.0000,put,buy,2024-02-28T15:32:32.832530Z,debit,1.00000,limit,long_put,,0.84000000,1.00000
QQQ,2024-02-28,435.0000,put,sell,2024-02-28T15:18:04.315698Z,credit,1.00000,limit,,long_put,0.79000000,1.00000
QQQ,2024-02-28,435.0000,put,buy,2024-02-28T15:17:33.426415Z,debit,1.00000,limit,long_put,,0.85000000,1.00000
TSLA,2024-03-01,207.5000,call,sell,2024-02-28T15:04:30.946358Z,credit,1.00000,limit,,long_call,0.85000000,1.00000
TSLA,2024-03-01,207.5000,call,buy,2024-02-28T14:45:16.301988Z,debit,1.00000,limit,long_call,,1.40000000,1.00000
SPY,2024-02-29,506.0000,call,sell,2024-02-28T14:43:52.325152Z,credit,1.00000,limit,,long_call,1.50000000,1.00000
SPY,2024-02-29,506.0000,call,buy,2024-02-28T14:40:57.559196Z,debit,1.00000,limit,long_call,,1.60000000,1.00000
TSLA,2024-03-01,207.5000,call,sell,2024-02-28T14:40:13.170148Z,credit,1.00000,limit,,long_call,1.42000000,1.00000
TSLA,2024-03-01,207.5000,call,buy,2024-02-28T14:39:12.128044Z,debit,1.00000,limit,long_call,,1.33000000,1.00000
TSLA,2024-03-01,205.0000,call,sell,2024-02-28T14:36:50.528226Z,credit,1.00000,limit,,long_call,2.12000000,1.00000
TSLA,2024-03-01,205.0000,call,buy,2024-02-28T14:31:59.061322Z,debit,1.00000,limit,long_call,,1.80000000,1.00000
TSLA,2024-03-01,205.0000,call,sell,2024-02-27T19:16:44.034676Z,credit,1.00000,limit,,long_call,1.98000000,1.00000
TSLA,2024-03-01,205.0000,call,buy,2024-02-27T19:02:52.202313Z,debit,1.00000,limit,long_call,,1.70000000,1.00000
TSLA,2024-03-01,205.0000,call,sell,2024-02-27T18:59:45.876564Z,credit,2.00000,limit,,long_call,1.59000000,2.00000
TSLA,2024-03-01,205.0000,call,sell,2024-02-27T18:59:15.236913Z,credit,1.00000,limit,,long_call,1.76000000,1.00000
SPY,2024-02-27,505.0000,call,sell,2024-02-27T18:58:10.161965Z,credit,1.00000,limit,,long_call,0.95000000,1.00000
XOM,2024-03-15,107.0000,call,sell,2024-02-27T18:56:40.021906Z,credit,1.00000,limit,,long_call,0.93000000,1.00000
SPY,2024-02-27,505.0000,call,sell,2024-02-27T18:55:55.375506Z,credit,1.00000,limit,,long_call,0.81000000,1.00000
SPY,2024-02-27,505.0000,call,sell,2024-02-27T18:50:41.159460Z,credit,1.00000,limit,,long_call,0.84000000,1.00000
SPY,2024-02-27,505.0000,call,buy,2024-02-27T18:49:09.191787Z,debit,3.00000,limit,long_call,,0.78000000,3.00000
XOM,2024-03-15,107.0000,call,buy,2024-02-27T18:39:33.783131Z,debit,1.00000,limit,long_call,,0.97000000,1.00000
TSLA,2024-03-01,205.0000,call,buy,2024-02-27T18:35:39.810441Z,debit,1.00000,limit,long_call,,1.50000000,1.00000
